RUN	viadeGatling.LoginTest	logintest	1588371484821	 	3.2.1
REQUEST	90		request_2	1588371491970	1588371493142	OK	 
REQUEST	47		request_2	1588371491833	1588371493144	OK	 
REQUEST	47		request_3	1588371491836	1588371493144	OK	 
REQUEST	51		request_2	1588371491913	1588371493145	OK	 
REQUEST	51		request_3	1588371491945	1588371493145	OK	 
REQUEST	98		request_3	1588371492680	1588371493154	OK	 
REQUEST	62		request_3	1588371492651	1588371493155	OK	 
REQUEST	94		request_3	1588371492629	1588371493156	OK	 
REQUEST	21		request_3	1588371492138	1588371493156	OK	 
REQUEST	65		request_2	1588371492202	1588371493158	OK	 
REQUEST	65		request_3	1588371492211	1588371493159	OK	 
REQUEST	73		request_2	1588371492259	1588371493170	OK	 
REQUEST	73		request_3	1588371492260	1588371493171	OK	 
REQUEST	85		request_2	1588371492281	1588371493171	OK	 
REQUEST	85		request_3	1588371492282	1588371493172	OK	 
REQUEST	59		request_2	1588371491969	1588371493172	OK	 
REQUEST	59		request_3	1588371491971	1588371493173	OK	 
REQUEST	55		request_2	1588371491996	1588371493173	OK	 
REQUEST	55		request_3	1588371491997	1588371493174	OK	 
REQUEST	81		request_2	1588371492310	1588371493175	OK	 
REQUEST	81		request_3	1588371492311	1588371493175	OK	 
REQUEST	98		request_2	1588371492677	1588371493187	OK	 
REQUEST	62		request_2	1588371492648	1588371493188	OK	 
REQUEST	94		request_2	1588371492626	1588371493189	OK	 
REQUEST	75		request_2	1588371492046	1588371493190	OK	 
REQUEST	75		request_3	1588371492048	1588371493190	OK	 
REQUEST	69		request_2	1588371492325	1588371493203	OK	 
REQUEST	69		request_3	1588371492326	1588371493204	OK	 
REQUEST	97		request_2	1588371492328	1588371493205	OK	 
REQUEST	79		request_2	1588371492114	1588371493206	OK	 
REQUEST	97		request_3	1588371492456	1588371493207	OK	 
REQUEST	79		request_3	1588371492115	1588371493207	OK	 
REQUEST	93		request_2	1588371492461	1588371493219	OK	 
REQUEST	71		request_2	1588371492119	1588371493220	OK	 
REQUEST	71		request_3	1588371492120	1588371493221	OK	 
REQUEST	67		request_2	1588371492210	1588371493222	OK	 
REQUEST	93		request_3	1588371492462	1588371493223	OK	 
REQUEST	67		request_3	1588371492212	1588371493224	OK	 
REQUEST	77		request_2	1588371492503	1588371493225	OK	 
REQUEST	63		request_2	1588371492307	1588371493226	OK	 
REQUEST	77		request_3	1588371492524	1588371493226	OK	 
REQUEST	89		request_2	1588371492560	1588371493227	OK	 
REQUEST	63		request_3	1588371492352	1588371493231	OK	 
